제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
마이 파더,황동혁,한국,2007-09-06,"드라마, 가족",834630,5330582500
데쓰 프루프,쿠엔틴 타란티노,미국,2007-09-06,"액션, 스릴러",64136,437223000
브라보 마이 라이프,박영훈,한국,2007-09-06,"드라마, 코미디",57754,373710500
본 얼티메이텀,폴 그린그래스,미국,2007-09-12,"액션, 스릴러, 미스터리, 어드벤처",1962124,13016759500
권순분여사 납치사건,김상진,한국,2007-09-12,코미디,1450374,9414715500
두 얼굴의 여친,이석훈,한국,2007-09-13,"멜로/로맨스, 코미디",680245,4455736500
즐거운 인생,이준익,한국,2007-09-13,드라마,1167110,7651723000
어머니는 죽지 않는다,하명중,한국,2007-09-12,"가족, 드라마",115096,635248000
사랑,곽경택,한국,2007-09-19,"멜로/로맨스, 액션",1999172,13319761000
상사부일체,심승보,한국,2007-09-19,"코미디, 액션",862296,5670784000
인베이젼,올리버 히르비겔,미국,2007-09-20,"SF, 공포(호러), 스릴러",541117,3636737500
원스,존 카니,아일랜드,2007-09-20,드라마,255424,1765654200
행복,허진호,한국,2007-10-03,"드라마, 멜로/로맨스",1159548,7641761500
러시 아워 3,브렛 래트너,미국,2007-10-03,"범죄, 코미디, 액션, 스릴러",768347,4874793000
내니 다이어리,"로버트 풀치니, 샤리 스프링어 버먼",미국,2007-10-03,"코미디, 드라마",460823,3011123500
아드레날린24,"마크 네빌딘, 브라이언 테일러",미국,2007-10-03,액션,67889,461395000
비커밍 제인,줄리언 재롤드,미국,2007-10-11,"드라마, 멜로/로맨스",182486,1175113000
카핑 베토벤,아그네츠카 홀란드,독일,2007-10-03,"드라마, 멜로/로맨스",263490,1682335500
브레이브 원,닐 조단,미국,2007-10-11,"드라마, 스릴러, 범죄",92896,618229000
거침없이 쏴라! 슛뎀업 ,마이클 데이비스,미국,2007-10-11,액션,66333,445109500
바르게 살자,라희찬,한국,2007-10-18,"코미디, 드라마",2129648,13907627500
궁녀,김미정,한국,2007-10-18,"미스터리, 스릴러",1339015,8909668000
레지던트 이블 3 - 인류의 멸망,러셀 멀케이,"프랑스, 호주, 독일, 영국, 미국",2007-10-18,"액션, 공포(호러), SF, 스릴러",512382,3443821500
어깨 너머의 연인,이언희,한국,2007-10-18,"드라마, 멜로/로맨스",289715,1937727500
엠,이명세,한국,2007-10-25,"미스터리, 멜로/로맨스, 스릴러",403369,2610962500
오다기리 죠의 도쿄타워,마츠오카 조지,일본,2007-10-25,드라마,30453,200129000
펀치레이디,강효진,한국,2007-10-25,"드라마, 코미디",26397,173409500
식객,전윤수,한국,2007-11-01,드라마,2958352,18942577500
히어로,스즈키 마사유키,일본,2007-11-01,드라마,225199,1452909500
킹덤,피터 버그,미국,2007-11-01,"액션, 스릴러",242146,1622711000
블랙 달리아,브라이언 드 팔마,"독일, 미국, 프랑스",2007-11-01,"드라마, 미스터리, 범죄",119008,801360500
"색, 계",이안,미국,2007-11-08,멜로/로맨스,1830854,12014593000
더 버터플라이,마이크 베이커,영국,2007-11-08,"스릴러, 드라마, 범죄",177523,1127135000
로스트 라이온즈,로버트 레드포드,미국,2007-11-08,드라마,144567,959546500
세븐 데이즈,원신연,한국,2007-11-14,"스릴러, 범죄",2020299,13534396000
베오울프,로버트 저메키스,미국,2007-11-14,"애니메이션, 드라마, 어드벤처, 판타지",922702,6485738500
스카우트,김현석,한국,2007-11-14,"드라마, 코미디",268374,1751541000
마을금고 연쇄습격사건,박상준,한국,2007-11-14,코미디,109300,689003000
쏘우 4,대런 린 보우즈만,미국,2007-11-21,"공포(호러), 스릴러",252697,1708888500
골든 에이지,세자르 카푸르,영국,2007-11-22,"드라마, 사극",117908,750385000
라 비 앙 로즈,올리비에 다한,"프랑스, 영국, 체코",2007-11-21,드라마,60368,397133000
어거스트 러쉬,커스틴 쉐리단,미국,2007-11-29,드라마,2091486,13427962000
우리 동네,정길영,한국,2007-11-29,"스릴러, 범죄",364474,2460823500
열한번째 엄마,김진성,한국,2007-11-29,드라마,336652,2063715500
히트맨,자비에르 젠스,미국,2007-11-29,"액션, 범죄",153795,1031842000
마이클 클레이튼,토니 길로이,미국,2007-11-29,"스릴러, 드라마",121503,767405000
헤어스프레이,아담 쉥크만,미국,2007-12-06,"드라마, 뮤지컬",298881,1923845500
데스 센텐스 ,제임스 왕,미국,2007-12-06,"액션, 드라마",59123,403916000
나는 전설이다,프란시스 로렌스,미국,2007-12-12,"SF, 드라마, 액션",2440370,15954909500
색즉시공 시즌2,윤태윤,한국,2007-12-12,코미디,1987758,13368146500
싸움,한지승,한국,2007-12-12,"멜로/로맨스, 코미디",323611,2076960000
황금 나침반,크리스 웨이츠,미국,2007-12-18,"판타지, 드라마, 액션, 어드벤처",2813277,17891649000
내셔널 트레져:비밀의 책,존 터틀타웁,미국,2007-12-19,"액션, 어드벤처",1715632,11165285500
내 사랑,이한,한국,2007-12-18,"멜로/로맨스, 드라마",930446,6107489500
용의주도 미스신,박용집,한국,2007-12-18,"멜로/로맨스, 코미디",516364,3326829500
앨빈과 슈퍼밴드,팀 힐,미국,2007-12-19,"코미디, 가족, 애니메이션",465056,2831572000
마고리엄의 장난감 백화점,자크 헬름,미국,2007-12-24,"가족, 코미디, 판타지",451248,2776411500
아메리칸 갱스터,리들리 스콧,미국,2007-12-27,"범죄, 드라마",353587,2407447500
꿀벌대소동,"스티브 히크너, 사이몬 J.스미스",미국,2008-01-03,"가족, 애니메이션, 어드벤처, 코미디",1141085,6802893500
기다리다 미쳐,류승진,한국,2008-01-01,멜로/로맨스,427096,2774891500
P.S. 아이 러브 유,리차드 라그라브네스,미국,2008-01-03,"멜로/로맨스, 드라마",298190,2015530500
우리 생애 최고의 순간,임순례,한국,2008-01-10,드라마,3959087,25765937500
무방비도시,이상기,한국,2008-01-10,"범죄, 액션",1573143,10407574000
미스트,프랭크 다라본트,미국,2008-01-10,"SF, 공포(호러), 드라마",504651,3298906500
마법에 걸린 사랑,케빈 리마,미국,2008-01-10,"멜로/로맨스, 드라마, 코미디",415114,2666437500
스위니 토드 : 어느 잔혹한 이발사 이야기,팀 버튼,미국,2008-01-17,"뮤지컬, 범죄, 스릴러",682451,4645352500
뜨거운 것이 좋아,권칠인,한국,2008-01-17,드라마,514118,3372731500
에이리언 VS 프레데터2 ,"콜린 스트라우스, 그레그 스트라우스",미국,2008-01-17,"SF, 액션, 어드벤처",271897,1756026000
어린 왕자,최종현,한국,2008-01-17,드라마,46845,290689000
써티 데이즈 오브 나이트,데이빗 슬레이드,미국,2008-01-10,"공포(호러), 스릴러",84464,569630000
클로버필드,맷 리브스,미국,2008-01-24,"SF, 스릴러, 액션",521117,3468631000
엘라의 모험 : 해피엔딩의 위기,폴 J. 볼거,"독일, 미국",2008-01-24,"애니메이션, 코미디, 가족",298442,1729764500
더 게임,윤인호,한국,2008-01-30,스릴러,1468710,9737082001
원스어폰어타임,정용기,한국,2008-01-31,"액션, 코미디",1514017,9946068500
슈퍼맨이었던 사나이,정윤철,한국,2008-01-31,"드라마, 코미디",518670,3437263000
명장,진가신,중국,2008-01-30,"액션, 전쟁",351204,2356164000
라듸오 데이즈,하기호,한국,2008-01-31,코미디,198176,1314471000
6년째 연애중,박현진,한국,2008-02-05,"멜로/로맨스, 드라마",1089093,7272527500
마지막 선물,김영준,한국,2008-02-05,드라마,261834,1719187500
찰리윌슨의 전쟁,마이크 니콜스,미국,2008-02-06,"코미디, 드라마",145042,968139000
점퍼,더그 라이만,미국,2008-02-14,"SF, 드라마, 어드벤처",1649984,10841404000
추격자,나홍진,한국,2008-02-14,"범죄, 스릴러, 액션",5033022,33899183000
스파이더위크가의 비밀,마크 S. 워터스,미국,2008-02-14,"어드벤처, 판타지",654544,4002091000
오퍼나지: 비밀의계단,후안 안토니오 바요나,"스페인, 멕시코",2008-02-14,"드라마, 미스터리, 스릴러",155235,1009249000
"대한이, 민국씨",최진원,한국,2008-02-14,코미디,188161,1104797000
데스노트 L: 새로운 시작,나카타 히데오,일본,2008-02-21,"스릴러, 판타지",336596,2052451500
어톤먼트,조 라이트,미국,2008-02-21,"멜로/로맨스, 드라마, 전쟁",182913,1221056500
밴티지 포인트,피트 트래비스,미국,2008-02-28,"스릴러, 드라마, 액션",1003809,6653720000
바보,김정권,한국,2008-02-28,드라마,946225,6172874500
람보 4 : 라스트 블러드,실베스터 스탤론,"미국, 독일",2008-02-28,"액션, 스릴러, 전쟁",100987,653532500
사랑보다 황금,앤디 테넌트,미국,2008-02-28,"멜로/로맨스, 어드벤처, 코미디",42852,286239500
마이 뉴 파트너,김종현,한국,2008-03-06,"액션, 코미디",252841,1652912500
27번의 결혼리허설,앤 플레쳐,미국,2008-03-06,"멜로/로맨스, 코미디",212167,1420904000
마이 블루베리 나이츠,왕가위,"홍콩, 프랑스",2008-03-06,멜로/로맨스,137054,892086500
집결호,펑샤오강,"중국, 한국, 홍콩",2008-03-06,"액션, 전쟁",69120,450298000
"10,000 BC",롤랜드 에머리히,미국,2008-03-13,"어드벤처, 드라마",1123077,7374097000
스텝업 2 : 더 스트리트,존 추,미국,2008-03-13,"멜로/로맨스, 드라마",1004774,6616005500
허밍,박대영,한국,2008-03-13,"멜로/로맨스, 드라마, 판타지",89729,570324500
숙명,,,2008-03-20,,825419,5540066000
천일의 스캔들,,,2008-03-20,,629525,4194542000
워터호스,,,2008-03-20,,74373,444437000
어웨이크,,,2008-03-27,,414661,2724820000
댄 인 러브,,,2008-03-27,,157341,1031950500
데스 디파잉:어느 마술사의 사랑,,,2008-03-27,,84100,561355500
GP 506,,,2008-04-03,,923551,6228482000
삼국지:용의 부활,,,2008-04-03,,1007468,6545218000
도레미파솔라시도,,,2008-04-03,,166389,1002911000
테이큰,,,2008-04-09,,2345432,15896767000
연의 황후,,,2008-04-09,,173101,1129930000
나의 특별한 사랑이야기,,,2008-04-09,,171423,1114418000
버킷 리스트:죽기전에 꼭 하고싶은것들,,,2008-04-09,,243186,1617384500
내가 숨쉬는 공기,,,2008-04-09,,70757,485614000
스트리트 킹,,,2008-04-17,,269296,1760078000
킬위드미,,,2008-04-17,,191104,1297889500
패솔로지,,,2008-04-17,,78903,504489000
포비든 킹덤: 전설의 마스터를 찾아서,,,2008-04-24,,1202231,7811541500
아이언맨,,,2008-04-30,,4283819,27752325000
비스티 보이즈,,,2008-04-30,,715069,4763903500
호튼,,,2008-04-30,,632377,3784899000
가루지기,,,2008-04-30,,158841,1035351500
명탐정 코난:베이커가의 망령,,,2008-05-01,,116618,677959500
나니아 연대기:캐스피언 왕자 ,,,2008-05-15,,1466358,9220932500
스피드 레이서,,,2008-05-08,,790013,5159641500
페넬로피,,,2008-05-15,,211107,1372808000
프라이스리스,,,2008-05-08,,118113,792977500
인디아나 존스 4 : 크리스탈 해골의 왕국,,,2008-05-22,,4096532,26593345500
겟 썸,,,2008-05-22,,111372,733855500
날나리 종부전,,,2008-05-22,,17317,107263500
라스베가스에서만 생길 수 있는 일,,,2008-05-29,,690922,4581258000
88분,,,2008-05-29,,266714,1763915500
바디,,,2008-05-29,,106714,695094000
위 오운 더 나잇,,,2008-05-29,,43638,293841500
쿵푸 팬더,,,2008-06-05,,4643518,29932030000
섹스 앤 더 시티,,,2008-06-05,,1061774,7096946100
걸스카우트,,,2008-06-05,,218832,1405068000
디 아이,,,2008-06-05,,63221,406679500
인크레더블 헐크,,,2008-06-12,,989946,6441101000
해프닝,,,2008-06-12,,331961,2272533000
흑심모녀,,,2008-06-12,,40637,268416000
도화선,,,2008-06-12,,21078,141393000
강철중: 공공의 적 1-1,,,2008-06-19,,4310578,28622175100
겟 스마트,,,2008-06-19,,166837,1095162000
21,,,2008-06-19,,102690,693085100
둠스데이:지구 최후의 날,,,2008-06-19,,88761,589366500
원티드,,,2008-06-26,,2843024,19142691000
크로싱,,,2008-06-26,,853679,5420202500
무림여대생,,,2008-06-26,,18363,117531000
핸콕,,,2008-07-02,,2703775,17723878500
노크:낯선 자들의 방문,,,2008-07-02,,222305,1399352500
크로우즈 제로,,,2008-07-02,,14629,94164500
돼지코 아기공룡 임피의 모험,,,2008-06-26,,28251,161768500
적벽대전:거대한 전쟁의 시작,,,2008-07-10,,1561116,10132413000
알이씨(Rec),,,2008-07-10,,48072,329270500
잘못된 만남,,,2008-07-10,,34559,225708000
"좋은 놈, 나쁜 놈, 이상한 놈 ",,,2008-07-17,,6676132,43691368500
님스 아일랜드,,,2008-07-17,,694076,4269054000
스페이스 침스:우주선을 찾아서,,,2008-07-17,,250645,1463531500
극장판 도라에몽:진구의 마계대모험 7인의 마법사,,,2008-07-17,,298903,1801094500
님은 먼 곳에,,,2008-07-24,,1627023,10688878000
100 피트,,,2008-07-24,,51955,344154500
미이라 3:황제의 무덤,,,2008-07-30,,3998989,25637211000
눈에는 눈 이에는 이,,,2008-07-31,,2034395,13317611500
다크 나이트,,,2008-08-06,,4266806,28573761199
고死 : 피의 중간고사,,,2008-08-07,,1629264,10270120500
월ㆍE,,,2008-08-06,,1300033,8124336000
케로로 더 무비:케로로 VS 케로로 천공대결전,,,2008-08-07,,133863,774068500
다찌마와리,,,2008-08-14,,610625,4010224000
아기와 나,,,2008-08-14,,355599,2176936500
엑스파일:나는 믿고싶다,,,2008-08-13,,168667,1115951500
CJ7:장강7호,,,2008-08-21,,290119,1814034500
미드나잇 미트 트레인,,,2008-08-21,,287902,1949389500
신기전,,,2008-09-04,,3710813,24226194500
맘마미아!,,,2008-09-03,,4504067,29352508250
지구,,,2008-09-04,,193869,1214082500
스타워즈 : 클론 전쟁,,,2008-09-04,,78730,489543500
영화는 영화다,,,2008-09-11,,1292227,8843432000
울학교 이티,,,2008-09-11,,639965,4085311000
20세기 소년,,,2008-09-11,,177172,1107556500
방콕 데인저러스,,,2008-09-11,,191598,1259052500
꽃보다 남자,,,2008-09-11,,159394,977421500
미러,,,2008-09-18,,186098,1281076500
황시,,,2008-09-18,,127098,791985000
트럭,,,2008-09-25,,528127,3588018500
헬보이 2 : 골든 아미,,,2008-09-25,,356182,2309756500
멋진 하루,,,2008-09-25,,326969,2187923000
동키호테,,,2008-09-25,,31975,186031000
모던보이,,,2008-10-02,,745167,4885716500
고고 70,,,2008-10-03,,578134,3761278500
바빌론 A.D.,,,2008-10-02,,217845,1423206000
더 클럽,,,2008-10-02,,46316,319713000
이글 아이,,,2008-10-09,,2267279,14720425000
비몽,,,2008-10-09,,50816,343856000
내 친구의 사생활,,,2008-10-09,,43216,289090500
미쓰 홍당무,,,2008-10-16,,507782,3402959000
공작부인:세기의 스캔들,,,2008-10-16,,209199,1336648000
데스 레이스,,,2008-10-16,,136028,907491000
하우 투 루즈 프렌즈,,,2008-10-16,,95686,606364000
사과,,,2008-10-16,,32957,218845500
아내가 결혼했다,,,2008-10-23,,1782210,11952014000
바디 오브 라이즈,,,2008-10-23,,581523,3788485500
화피,,,2008-10-23,,136615,905368500
그 남자의 책 198쪽,,,2008-10-23,,58243,371139000
뱅크 잡,,,2008-10-30,,537318,3483255500
굿바이,,,2008-10-30,,110504,684808000
플라이 미 투 더 문,,,2008-10-30,,143596,930588500
너를 잊지 않을 거야,,,2008-10-30,,31668,193078500
007 퀀텀 오브 솔러스,,,2008-11-05,,2202744,14374514000
소년은 울지 않는다,,,2008-11-06,,89511,571089500
서양 골동 양과자점 앤티크,,,2008-11-13,,1167865,7339240000
미인도,,,2008-11-13,,2337993,15630907000
눈먼자들의 도시,,,2008-11-20,,644648,4352951500
맥스 페인,,,2008-11-20,,255543,1615541500
커넥트,,,2008-11-20,,187430,1136996000
렛 미 인,,,2008-11-13,,44617,298754500
순정만화,,,2008-11-27,,717666,4596175000
과속스캔들,,,2008-12-03,,8199215,53654446900
1724 기방난동사건,,,2008-12-03,,276079,1820510000
쏘우 V,,,2008-12-03,,143343,993877000
트와일라잇,,,2008-12-10,,1329584,8617902000
오스트레일리아,,,2008-12-10,,976637,6328475500
트로픽 썬더 ,,,2008-12-10,,66685,462314500
잃어버린 세계를 찾아서,,,2008-12-17,,1421660,9209056000
벼랑 위의 포뇨,,,2008-12-17,,1500980,9419456500
예스맨,,,2008-12-17,,1388890,9247820000
달콤한 거짓말,,,2008-12-18,,465342,3083903500
쌍화점,,,2008-12-30,,3645900,24747777900
지구가 멈추는 날,,,2008-12-24,,1562647,10303125500
로맨틱 아일랜드,,,2008-12-24,,128175,856790500
니코,,,2008-12-24,,125935,776736500
볼트,,,2008-12-31,,723754,4784466500
마다가스카 2,,,2009-01-08,,1188793,7301895500
트랜스포터-라스트 미션,,,2009-01-08,,885564,5888633000
디파이언스,,,2009-01-08,,200862,1343024000
탑 블레이드 더 무비,,,2009-01-15,,23069,137521500
적벽대전 2 : 최후의 결전,,,2009-01-22,,2634150,17399831000
작전명 발키리,,,2009-01-22,,1773451,11806625000
유감스러운 도시,,,2009-01-22,,1472418,9900889500
체인질링,,,2009-01-22,,437465,3006926500
베드타임 스토리,,,2009-01-22,,193165,1230167000
잉크하트 : 어둠의 부활,,,2009-01-29,,499719,3193164000
알파독,,,2009-01-29,,74242,476980500
마린보이,,,2009-02-05,,815287,5424978000
워낭소리,,,2009-01-15,,2845331,18652098400
세븐 파운즈,,,2009-02-05,,219646,1441791500
키친,,,2009-02-05,,86171,578277000
벤자민 버튼의 시간은 거꾸로 간다,,,2009-02-12,,1662533,10928468500
작전,,,2009-02-12,,1445923,9635679000
그는 당신에게 반하지 않았다,,,2009-02-12,,921911,6285090500
작은 영웅 데스페로,,,2009-02-12,,399885,2300696000
핸드폰,,,2009-02-19,,593223,4027337500
문프린세스 : 문에이커의 비밀,,,2009-02-19,,330647,2040093500
말리와 나,,,2009-02-19,,178653,1199580000
인터내셔널,,,2009-02-26,,219538,1469074500
언데드,,,2009-02-26,,192428,1283103500
왓치맨,,,2009-03-05,,585264,4031432500
더 레슬러,,,2009-03-05,,40581,280749500
킬러들의 도시,,,2009-03-05,,32652,229789500
슬픔보다 더 슬픈 이야기,,,2009-03-11,,668373,4417490500
드래곤볼 에볼루션,,,2009-03-12,,384927,2447302500
뉴욕은 언제나 사랑 중,,,2009-03-12,,225322,1541864000
13일의 금요일,,,2009-03-12,,196888,1391683500
푸시,,,2009-03-19,,680177,4511865500
슬럼독 밀리어네어,,,2009-03-19,,1118134,7425871300
실종,,,2009-03-19,,615411,4208220500
그랜 토리노,,,2009-03-19,,104810,707753000
더 리더: 책 읽어주는 남자,,,2009-03-26,,404280,2638937500
쇼퍼홀릭,,,2009-03-26,,296264,2007051500
카오스,,,2009-03-26,,185602,1230861000
기프트,,,2009-03-26,,139717,940305000
그림자 살인,,,2009-04-02,,1859624,12442033500
분노의 질주: 더 오리지널,,,2009-04-02,,665113,4463904175
신부들의 전쟁,,,2009-04-02,,64742,427830500
우리 집에 왜 왔니,,,2009-04-09,,193375,1255329500
용의자 X의 헌신,,,2009-04-09,,57970,391709000
미쓰 루시힐,,,2009-04-09,,52935,364764500
안나와 알렉스 : 두자매 이야기,,,2009-04-09,,34149,232063000
노잉,,,2009-04-16,,1039276,6830413500
13구역: 얼티메이텀,,,2009-04-16,,489043,3267994675
엽문,,,2009-04-16,,100336,664861500
내 남자의 아내도 좋아,,,2009-04-15,,35707,244467500
7급 공무원,,,2009-04-22,,4002500,26174181000
더블 스파이,,,2009-04-16,,31071,207779500
몬스터 vs 에이리언,,,2009-04-23,,654702,4500001000
똥파리,,,2009-04-16,,72545,498978500
제독의 연인,,,2009-04-23,,29791,199646000
박쥐,,,2009-04-30,,2199378,14797212500
엑스맨 탄생: 울버린,,,2009-04-30,,1278245,8392519500
인사동 스캔들,,,2009-04-29,,1139972,7576340000
케로로 더 무비: 드래곤 워리어,,,2009-04-30,,195201,1166410500
스테이트 오브 플레이,,,2009-04-30,,138552,920577500
스타 트렉: 더 비기닝,,,2009-05-07,,1079349,7206493000
리틀 비버,,,2009-04-30,,114867,692589000
천사와 악마,,,2009-05-14,,1890280,12431921000
김씨표류기,,,2009-05-14,,708270,4648134000
옹박: 더 레전드,,,2009-05-14,,22693,146994000
할로윈:살인마의 탄생,,,2009-05-14,,19803,138665500
터미네이터 : 미래전쟁의 시작,,,2009-05-21,,4486511,29604168000
코렐라인: 비밀의 문,,,2009-05-21,,207978,1370991500
잘 알지도 못하면서,,,2009-05-14,,23673,164725000
마더,,,2009-05-28,,2973710,19936796500
에코,,,2009-05-28,,44351,286783500
박물관이 살아있다 2,,,2009-06-04,,1970693,12389119000
거북이 달린다,,,2009-06-11,,3017903,20573500000
펠햄 123,,,2009-06-11,,346515,2319576500
드래그 미 투 헬,,,2009-06-11,,269772,1822937500
블러드,,,2009-06-11,,98948,668725500
임피 원더랜드 가다,,,2009-06-11,,19899,121535500
여고괴담 5,,,2009-06-18,,627429,4069280000
블룸 형제 사기단,,,2009-06-18,,69228,464506500
신주쿠 사건,,,2009-06-18,,29420,197672000
트랜스포머: 패자의 역습,,,2009-06-24,,7387680,50654972500
링스 어드벤처,,,2009-06-24,,124639,760779000
킹콩을 들다,,,2009-07-01,,1245275,8750996500
언노운 우먼,,,2009-07-01,,12257,92992000
오감도,,,2009-07-09,,388416,2839911500
주온-원혼의 부활,,,2009-07-09,,301878,2090844000
아더와 미니모이-제1탄비밀원정대의출정,,,2009-07-09,,119921,773240500
해리 포터와 혼혈 왕자,,,2009-07-15,,2993239,20675726000
차우,,,2009-07-15,,1740738,12280120000
극장판 도라에몽: 진구의 공룡대탐험,,,2009-07-15,,206041,1344936500
해운대,,,2009-07-22,,11276049,80692196500
블러디 발렌타인,,,2009-07-22,,85037,788996500
국가대표,,,2009-07-29,,8002297,57351291000
업,,,2009-07-29,,957437,6998110500
명탐정 코난 : 칠흑의 추적자,,,2009-07-29,,599162,3860808000
메디엄,,,2009-07-29,,75242,547205500
지.아이.조 : 전쟁의 서막,,,2009-08-06,,2636648,19374358000
10억,,,2009-08-06,,407614,2922322500
아이스 에이지 3: 공룡시대,,,2009-08-12,,824459,5823142000
퍼블릭 에너미,,,2009-08-12,,415208,3062167000
불신지옥,,,2009-08-12,,237044,1714843500
썸머 워즈,,,2009-08-13,,63717,458217000
요가학원,,,2009-08-20,,255609,1834717500
퍼펙트 겟어웨이,,,2009-08-20,,305686,2267868500
오펀: 천사의 비밀,,,2009-08-20,,416428,3185361500
소피의 연애 매뉴얼,,,2009-08-20,,80076,595799000
블랙,,,2009-08-27,,842865,6029926000
코코 샤넬,,,2009-08-27,,190183,1412353000
나의 로맨틱 가이드,,,2009-08-27,,44604,333246500
프로포즈,,,2009-09-03,,312205,2356663500
왼편 마지막 집,,,2009-09-03,,57496,438758000
드림업,,,2009-09-03,,57401,401045000
애자,,,2009-09-09,,1857685,13397583000
이태원 살인사건,,,2009-09-10,,523620,3926185500
국가대표 완결판-못 다한 이야기,,,2009-09-10,,235250,1751292500
하이 레인,,,2009-09-09,,68600,526101500
마이 시스터즈 키퍼,,,2009-09-10,,110652,799769500
9:나인,,,2009-09-09,,59289,426062500
어글리 트루스,,,2009-09-17,,258705,1991475000
S러버,,,2009-09-17,,61787,479051500
내 사랑 내 곁에,,,2009-09-24,,2130369,15548697000
불꽃처럼 나비처럼,,,2009-09-24,,1666737,12275928500
페임,,,2009-09-24,,590815,4353441000
써로게이트,,,2009-10-01,,761828,5690900000
게이머,,,2009-10-01,,290754,2231873000
파이널 데스티네이션 4,,,2009-10-01,,246075,1949484500
나는 갈매기,,,2009-09-26,,89220,539110500
짱구는 못말려 극장판:태풍을 부르는 노래하는 엉덩이 폭탄,,,2009-09-24,,90638,633444500
정승필 실종사건,,,2009-10-08,,287083,2074780000
호우시절,,,2009-10-08,,281632,2094922000
디스트릭트 9,,,2009-10-15,,830043,6337871500
나는 비와 함께 간다,,,2009-10-15,,199333,1522484500
부산,,,2009-10-15,,144001,1079063500
굿모닝 프레지던트,,,2009-10-22,,2550349,18539787300
팬도럼,,,2009-10-22,,143661,1095618500
뉴욕 아이 러브 유,,,2009-10-22,,69584,540693500
시간 여행자의 아내,,,2009-10-28,,715778,5320636000
바스터즈: 거친 녀석들,,,2009-10-28,,329712,2498898000
파주,,,2009-10-28,,115894,863869000
마이클 잭슨의 디스 이즈 잇,,,2009-10-28,,122781,923167000
집행자,,,2009-11-05,,366886,2786217000
펜트하우스 코끼리,,,2009-11-05,,135953,1028067500
내 눈에 콩깍지,,,2009-11-05,,42318,313717500
킬 미,,,2009-11-05,,39091,301586500
2012,,,2009-11-12,,5386352,38861212000
청담보살,,,2009-11-11,,1274347,9393585500
천국의 우편배달부,,,2009-11-12,,90592,607218000
19-Nineteen,,,2009-11-12,,27274,173832000
백야행,,,2009-11-19,,936619,7025615000
솔로이스트,,,2009-11-19,,112095,822802000
홍길동의 후예,,,2009-11-26,,607768,4234253500
닌자 어쌔신,,,2009-11-26,,1308155,9959682000
크리스마스 캐롤,,,2009-11-26,,339415,2586988000
뉴 문,,,2009-12-02,,1932411,13861946000
바람,,,2009-11-26,,87956,638327500
시크릿,,,2009-12-03,,1039444,7929663000
에반게리온: 파,,,2009-12-03,,28152,222237500
모범시민,,,2009-12-10,,799361,5872116000
여배우들,,,2009-12-10,,504881,3718739500
아바타,,,2009-12-17,,13324025,125145737000
걸프렌즈,,,2009-12-17,,75440,555963000
전우치,,,2009-12-23,,6022722,43788329500
셜록 홈즈,,,2009-12-23,,2159283,15856274500
파르나서스 박사의 상상극장,,,2009-12-23,,440904,3205120000
포켓 몬스터 DP: 아르세우스 초극의 시공으로,,,2009-12-24,,573595,4420170994
나인,,,2009-12-31,,459250,3495088000
앨빈과 슈퍼밴드2,,,2009-12-30,,571799,3823014000
위대한 침묵,,,2009-12-03,,29532,210707500
용서는 없다,,,2010-01-07,,1121003,8568559500
더 로드,,,2010-01-07,,162066,1198714500
극장판파워레인저 엔진포스VS 와일드스피릿,,,2010-01-07,,82859,591672500
아스트로 보이-아톰의 귀환,,,2010-01-13,,378150,2493892500
파라노말 액티비티,,,2010-01-13,,434729,3182369500
아빠가 여자를 좋아해,,,2010-01-14,,112405,809857000
웨딩드레스,,,2010-01-14,,76271,537076000
주유소 습격사건 2,,,2010-01-21,,718810,5300598500
500일의 썸머,,,2010-01-21,,252720,1999303700
8인: 최후의 결사단,,,2010-01-21,,81603,618196000
공주와 개구리,,,2010-01-21,,59047,406805000
하모니,,,2010-01-28,,3004402,21565119500
식객2 : 김치전쟁,,,2010-01-28,,431598,3079482000
꼬마 니콜라,,,2010-01-28,,181922,1242305000
들어는 봤니? 모건 부부,,,2010-01-28,,106701,818286500
의형제,,,2010-02-04,,5405194,40071406000
퍼시 잭슨과 번개 도둑,,,2010-02-11,,1808612,12896549000
공자 춘추전국시대,,,2010-02-11,,348892,2614018000
하늘에서 음식이 내린다면,,,2010-02-11,,644345,5341223000
울프맨,,,2010-02-11,,251642,1960016000
발렌타인 데이,,,2010-02-11,,157673,1224580500
원피스 극장판: 스트롱 월드,,,2010-02-11,,103832,705164000
평행이론,,,2010-02-18,,902616,6660151500
러블리 본즈,,,2010-02-25,,200577,1489323500
포스 카인드,,,2010-02-25,,196456,1463617000
클로이,,,2010-02-25,,69903,538370500
하치 이야기,,,2010-02-18,,89724,653373000
이상한 나라의 앨리스,,,2010-03-04,,2136647,20247259500
디어 존,,,2010-03-04,,177173,1331895500
프롬 파리 위드 러브,,,2010-03-11,,342143,2604245500
사랑은 너무 복잡해,,,2010-03-11,,209137,1560958500
대병소장,,,2010-03-11,,66671,491030500
우리가 꿈꾸는 기적: 인빅터스,,,2010-03-04,,92468,688359500
셔터 아일랜드,,,2010-03-18,,966508,7232534000
육혈포 강도단,,,2010-03-18,,1185505,8501692000
무법자,,,2010-03-18,,146832,1124238000
데이브레이커스,,,2010-03-18,,128076,976296000
그린 존,,,2010-03-25,,591482,4423567000
비밀애,,,2010-03-25,,149135,1106872000
